Date,Time,CumCases,CumDeaths,Incidence,Deaths_t,Removed_t,dIdt,Removed,Prevalence
3/11/20,0,7,0,7,0,0,7,0,7
3/12/20,1,28,0,21,0,0,21,0,28
3/13/20,2,42,0,14,0,0,14,0,42
3/14/20,3,56,0,14,0,0,14,0,56
3/15/20,4,56,0,0,0,0,0,0,56
3/16/20,5,105,0,49,0,0,49,0,105
3/17/20,6,140,0,35,0,0,35,0,140
3/18/20,7,252,0,112,0,0,112,0,252
3/19/20,8,322,0,70,0,0,70,0,322
3/20/20,9,413,0,91,0,0,91,0,413
3/21/20,10,700,0,287,0,0,287,0,700
3/22/20,11,784,0,84,0,0,84,0,784
3/23/20,12,1064,0,280,0,0,280,0,1064
3/24/20,13,1379,0,315,0,0,315,0,1379
3/25/20,14,1792,1,413,1,1,412,1,1791
3/26/20,15,2184,1,392,0,0,392,1,2183
3/27/20,16,2660,2,476,1,1,475,2,2658
3/28/20,17,3031,2,371,0,0,371,2,3029
3/29/20,18,3871,2,840,0,0,840,2,3869
3/30/20,19,4291,3,420,1,1,419,3,4288
3/31/20,20,4529,3,238,0,7,231,10,4519
4/1/20,21,5124,4,595,1,22,573,32,5092
4/2/20,22,5838,5,714,1,15,699,47,5791
4/3/20,23,6615,5,777,0,14,763,61,6554
4/4/20,24,6930,7,315,2,2,313,63,6867
4/5/20,25,7665,9,735,2,51,684,114,7551
4/6/20,26,8561,12,896,3,38,858,152,8409
4/7/20,27,8855,14,294,2,114,180,266,8589
4/8/20,28,9226,17,371,3,73,298,339,8887
4/9/20,29,9835,20,609,3,94,515,433,9402
4/10/20,30,10542,21,707,1,288,419,721,9821
4/11/20,31,10815,21,273,0,84,189,805,10010
4/12/20,32,12019,23,1204,2,282,922,1087,10932
4/13/20,33,12376,30,357,7,322,35,1409,10967
4/14/20,34,12635,32,259,2,414,-155,1823,10812
4/15/20,35,13419,37,784,5,397,387,2220,11199
4/16/20,36,14063,45,644,8,483,161,2703,11360
4/17/20,37,14434,48,371,3,374,-3,3077,11357
4/18/20,38,14777,50,343,2,842,-499,3919,10858
4/19/20,39,15190,56,413,6,425,-12,4344,10846
4/20/20,40,15659,64,469,8,246,223,4590,11069
4/21/20,41,16268,71,609,7,601,8,5191,11077
4/22/20,42,17094,73,826,2,715,111,5906,11188
4/23/20,43,17766,77,672,4,781,-109,6687,11079
